fault_name,expected_microservice,rank,num_with_same_score,,,,
seat_abort_1024,ts-seat-service,33,26,,,,
seat_cpu_1014,ts-seat-service,23,1,,,,
seat_cpu_1016,ts-seat-service,32,12,,,,
seat_delay_1010,ts-seat-service,32,16,,,,
seat_delay_1014,ts-seat-service,32,15,,,,
seat_delay_1025,ts-seat-service,4,1,,,,
security_abort_1023,ts-security-service,33,17,,,,
security_cpu_1012,ts-security-service,12,1,,,,
security_cpu_1016,ts-security-service,34,10,,,,
security_delay_1010,ts-security-service,34,10,,,,
security_delay_1014,ts-security-service,35,8,,,,
security_delay_1025,ts-security-service,4,1,,,,
station+basic_delay_1021,ts-station+basic-service,,,,,,
station_abort_1011,ts-station-service,31,28,,,,
station_abort_1015,ts-station-service,31,28,,,,
station_abort_1023,ts-station-service,32,27,,,,
station_cpu_1012,ts-station-service,8,1,,,,
station_cpu_1016,ts-station-service,15,1,,,,
station_delay_1025,ts-station-service,31,28,,,,
ticketinfo_abort_1011,ts-ticketinfo-service,33,26,,,,
ticketinfo_abort_1024,ts-ticketinfo-service,33,29,,,,
ticketinfo_cpu_1014,ts-ticketinfo-service,5,1,,,,
ticketinfo_cpu_1016,ts-ticketinfo-service,10,1,,,,
ticketinfo_delay_1010,ts-ticketinfo-service,2,1,,,,
ticketinfo_delay_1025,ts-ticketinfo-service,7,1,,,,
train+order_delay_1021,ts-train+order-service,,,,,,
train_abort_1011,ts-train-service,32,26,,,,
train_abort_1015,ts-train-service,32,26,,,,
train_cpu_1012,ts-train-service,1,1,,,,
train_cpu_1016,ts-train-service,13,1,,,,
train_delay_1010,ts-train-service,12,1,,,,
train_delay_1025,ts-train-service,9,1,,,,
travel-plan_abort_1015,ts-travel-plan-service,35,14,,,,
travel-plan_cpu_1012,ts-travel-plan-service,36,7,,,,
travel_abort_1011,ts-travel-service,33,30,,,,
travel_abort_1015,ts-travel-service,33,30,,,,
travel_cpu_1014,ts-travel-service,13,1,,,,
travel_cpu_1016,ts-travel-service,12,2,,,,
travel_delay_1010,ts-travel-service,14,1,,,,
travel_delay_1014,ts-travel-service,6,1,,,,
travel_delay_1025,ts-travel-service,34,16,,,,
user+verification-code_cpu_1021,ts-user+verification-code-service,,,,,,
user_abort_1011,ts-user-service,36,15,,,,
user_abort_1015,ts-user-service,36,15,,,,
user_abort_1023,ts-user-service,36,13,,,,
user_cpu_1012,ts-user-service,1,2,,,,
user_cpu_1016,ts-user-service,5,1,,,,
user_delay_1010,ts-user-service,10,1,,,,
user_delay_1014,ts-user-service,6,1,,,,
user_delay_1025,ts-user-service,3,1,,,,
verification-code_abort_1011,ts-verification-code-service,36,25,,,,
verification-code_abort_1015,ts-verification-code-service,36,28,,,,
